menu_id,name,description,price,category,image_url,is_available,id
f6b8a100-1111-4444-8888-000000000001,Truffle Pasta,Handmade pappardelle with black truffle.,2100.00,Mains,https://images.unsplash.com/photo-1473093226795-af9932fe5856?w=800,TRUE,e1b8a100-0000-0000-0000-000000000001
f6b8a100-1111-4444-8888-000000000001,Caesar Salad,Crisp romaine with parmesan crisp.,450.00,Starters,https://images.unsplash.com/photo-1550304943-4f24f54ddde9?w=800,TRUE,e1b8a100-0000-0000-0000-000000000002
f6b8a100-1111-4444-8888-000000000001,Iced Americano,Double shot espresso over ice.,250.00,Drinks,https://images.unsplash.com/photo-1517701604599-bb24b3180ddf?w=800,TRUE,e1b8a100-0000-0000-0000-000000000003
f6b8a100-1111-4444-8888-000000000001,Garlic Prawns,Sizzling prawns in chili and garlic.,850.00,Starters,https://images.unsplash.com/photo-1559742811-822833d13f6b?w=800,TRUE,e1b8a100-0000-0000-0000-000000000007
f6b8a100-1111-4444-8888-000000000001,Mushroom Risotto,Creamy arborio rice with wild mushrooms.,1200.00,Mains,https://images.unsplash.com/photo-1476124369491-e7addf5db371?w=800,TRUE,e1b8a100-0000-0000-0000-000000000008
f6b8a100-1111-4444-8888-000000000001,Lemon Tart,Traditional shortcrust with zingy curd.,450.00,Dessert,https://images.unsplash.com/photo-1519915028121-7d3463d20b13?w=800,TRUE,e1b8a100-0000-0000-0000-000000000009
f6b8a100-1111-4444-8888-000000000002,Steak Frites,Prime ribeye with rosemary fries.,2800.00,Mains,https://images.unsplash.com/photo-1600891964599-f61ba0e24092?w=800,TRUE,e1b8a100-0000-0000-0000-000000000004
f6b8a100-1111-4444-8888-000000000002,Chocolate Fondant,Molten dark chocolate cake.,650.00,Dessert,https://images.unsplash.com/photo-1606313564200-e75d5e30476c?w=800,TRUE,e1b8a100-0000-0000-0000-000000000005
f6b8a100-1111-4444-8888-000000000002,Burrata Salad,Fresh burrata with heirloom tomatoes.,950.00,Starters,https://images.unsplash.com/photo-1592417817098-8fd3d9eb14a5?w=800,TRUE,e1b8a100-0000-0000-0000-000000000010
f6b8a100-1111-4444-8888-000000000002,Grilled Salmon,Atlantic salmon with asparagus.,1800.00,Mains,https://images.unsplash.com/photo-1467003909585-2f8a72700288?w=800,TRUE,e1b8a100-0000-0000-0000-000000000011
f6b8a100-1111-4444-8888-000000000002,Tiramisu,Classic Italian coffee-soaked sponge.,550.00,Dessert,https://images.unsplash.com/photo-1571877227200-a0d98ea607e9?w=800,TRUE,e1b8a100-0000-0000-0000-000000000012
f6b8a100-1111-4444-8888-000000000002,Crispy Calamari,Flour-dusted with garlic aioli.,750.00,Starters,https://images.unsplash.com/photo-1599487483660-84841a17964b?w=800,TRUE,e1b8a100-0000-0000-0000-000000000013
f6b8a100-1111-4444-8888-000000000002,Lamb Chops,Herb-crusted with mint jus.,2500.00,Mains,https://images.unsplash.com/photo-1544022613-e87f8581024a?w=800,TRUE,e1b8a100-0000-0000-0000-000000000014
f6b8a100-1111-4444-8888-000000000003,Cabernet Sauvignon,Full-bodied red wine.,1200.00,Wine,https://images.unsplash.com/photo-1510812431401-41d2bd2722f3?w=800,TRUE,e1b8a100-0000-0000-0000-000000000006
f6b8a100-1111-4444-8888-000000000003,Chardonnay,Crisp white with oak notes.,1100.00,Wine,https://images.unsplash.com/photo-1553072778-8f4133d987d9?w=800,TRUE,e1b8a100-0000-0000-0000-000000000015
f6b8a100-1111-4444-8888-000000000003,Negroni,Gin, vermouth, and campari.,800.00,Cocktails,https://images.unsplash.com/photo-1551538827-9c037cb4f32a?w=800,TRUE,e1b8a100-0000-0000-0000-000000000016
f6b8a100-1111-4444-8888-000000000003,Espresso Martini,Vodka and fresh espresso.,850.00,Cocktails,https://images.unsplash.com/photo-1545438102-799c3991ffb2?w=800,TRUE,e1b8a100-0000-0000-0000-000000000017
f6b8a100-1111-4444-8888-000000000003,Craft IPA,Local floral and citrusy hopy ale.,450.00,Beer,https://images.unsplash.com/photo-1535958636474-b021ee887b13?w=800,TRUE,e1b8a100-0000-0000-0000-000000000018
f6b8a100-1111-4444-8888-000000000003,Sparkling Water,San Pellegrino with lime.,180.00,Drinks,https://images.unsplash.com/photo-1550507992-eb63ffee0847?w=800,TRUE,e1b8a100-0000-0000-0000-000000000019
f6b8a100-1111-4444-8888-000000000003,Old Fashioned,Bourbon with bitters and orange rind.,900.00,Cocktails,https://images.unsplash.com/photo-1551538827-9c037cb4f32a?w=800,TRUE,e1b8a100-0000-0000-0000-000000000020
